Loss Function,Input Activation Function,Hidden Neurons,Train Accuracy,Train Loss,Train BCE,Train MSE,Validation Accuracy
binary_crossentropy,elu,76,0.7879245042800903,0.47292631268501284,0.47292631268501284,0.15259953439235688,0.7836374521255494
binary_crossentropy,tanh,76,0.7759432315826416,0.48676456809043883,0.48676456809043883,0.15834564566612244,0.7729267597198486
binary_crossentropy,elu,25,0.7655882835388184,0.4928728103637695,0.4928728103637695,0.16115976870059967,0.7664043068885803
binary_crossentropy,elu,38,0.772568690776825,0.4921338379383087,0.4921338379383087,0.16052843034267425,0.76454598903656
binary_crossentropy,tanh,38,0.770124864578247,0.49688243865966797,0.49688243865966797,0.16230204999446868,0.756171727180481
binary_crossentropy,silu,76,0.7509313821792603,0.5236836552619935,0.5236836552619935,0.1729840338230133,0.7505979299545288
mean_squared_error,tanh,76,0.7538423538208008,0.17601910531520842,0.5317265033721924,0.17601910531520842,0.7501089572906494
binary_crossentropy,relu,76,0.7515130519866944,0.5276358246803283,0.5276358246803283,0.17458699345588685,0.7426746726036072
binary_crossentropy,elu,19,0.7587266802787781,0.5075540542602539,0.5075540542602539,0.16711489260196685,0.7421976566314697
binary_crossentropy,tanh,25,0.7511638879776001,0.5239071369171142,0.5239071369171142,0.17341893315315246,0.741750955581665
binary_crossentropy,silu,25,0.735456931591034,0.5471917390823364,0.5471917390823364,0.18294200003147126,0.738494074344635
binary_crossentropy,relu,38,0.7360436677932739,0.5328924536705018,0.5328924536705018,0.17765401303768158,0.7370867967605591
binary_crossentropy,silu,38,0.7412749528884888,0.5362714529037476,0.5362714529037476,0.1783447355031967,0.7333701968193054
mean_squared_error,elu,76,0.7422050356864929,0.17895651161670684,0.5379388093948364,0.17895651161670684,0.7333625912666321
binary_crossentropy,tanh,19,0.7439496397972107,0.5293099284172058,0.5293099284172058,0.1754172146320343,0.7315054059028625
mean_squared_error,elu,38,0.7336001873016358,0.18217430114746094,0.5455290079116821,0.18217430114746094,0.7300981283187866
binary_crossentropy,relu,25,0.7280141949653626,0.5397279739379883,0.5397279739379883,0.18051985502243043,0.7245199799537658
binary_crossentropy,silu,19,0.7187090277671814,0.5579901099205017,0.5579901099205017,0.18776009380817413,0.705436110496521
mean_squared_error,tanh,38,0.722775137424469,0.18644799590110778,0.5553739786148071,0.18644799590110778,0.704054856300354
binary_crossentropy,relu,19,0.7221990823745728,0.5516890525817871,0.5516890525817871,0.18533680438995362,0.702647578716278
mean_squared_error,relu,76,0.6978843092918396,0.19676539897918702,0.5791629552841187,0.19676539897918702,0.6998579621315002
mean_squared_error,tanh,25,0.713588011264801,0.1908027410507202,0.56538827419281,0.1908027410507202,0.6998481988906861
mean_squared_error,elu,19,0.7132381558418274,0.19197412133216857,0.5682662606239319,0.19197412133216857,0.6993928551673889
mean_squared_error,silu,76,0.6992779612541199,0.19868199825286864,0.5839331150054932,0.19868199825286864,0.6914913058280945
mean_squared_error,elu,25,0.6949750900268554,0.19723933637142183,0.5793156504631043,0.19723933637142183,0.6914804577827454
mean_squared_error,tanh,19,0.6982320785522461,0.19795586168766022,0.5810314178466797,0.19795586168766022,0.6905697464942933
mean_squared_error,relu,38,0.6829913973808288,0.2038281887769699,0.5945023417472839,0.2038281887769699,0.6835745692253112
mean_squared_error,silu,25,0.6786841988563538,0.2060949444770813,0.5996822357177735,0.2060949444770813,0.6803230881690979
mean_squared_error,silu,38,0.6789174318313599,0.20654345452785491,0.6012478232383728,0.20654345452785491,0.6789309978485107
mean_squared_error,relu,19,0.6740358233451843,0.21048986911773682,0.6098222255706787,0.21048986911773682,0.6723922371864319
mean_squared_error,relu,25,0.6836896777153015,0.20466442704200744,0.5960633635520936,0.20466442704200744,0.6719369053840637
mean_squared_error,silu,19,0.6717123985290527,0.21237369477748871,0.6138441920280456,0.21237369477748871,0.6635474562644958
